economy,time,BX.KLT.DINV.CD.WD,FP.CPI.TOTL.ZG,FR.INR.RINR,NE.CON.GOVT.CD,NE.CON.TOTL.CD,NE.EXP.GNFS.CD,NY.GDP.MKTP.CD,SL.UEM.TOTL.ZS,AG.LND.AGRI.ZS,NE.GDI.TOTL.CD,NE.IMP.GNFS.CD,SL.TLF.CACT.ZS
ALB,YR2018,1204383363.60476,2.02805963071136,4.39470533423615,1710639767.68047,13700536535.135,4785177777.03696,15156432309.8977,12.3000001907349,42.8496715328467,3623931004.21153,6856192656.30267,59.2999992370605
ALB,YR2019,1201022154.46643,1.41109078954248,4.95695478571497,1747643257.94623,14069137650.3403,4821430704.1915,15401830754.0773,11.4700002670288,42.8467153284672,3544361013.30168,6926961751.75784,60.310001373291
ALB,YR2020,1069744879.65453,1.62088661717004,5.40567035480991,1796557752.41601,13984503732.1675,3435536125.17257,15131866270.5936,13.0670003890991,42.538503649635,3510612139.89876,5636282433.50207,56.8450012207031
ALB,YR2021,1218586452.37158,2.04147163139546,0.0884117892613063,2146541596.79289,15757879678.323,5590528223.53168,18255787479.1846,12.6829996109009,,4403533603.16847,8016544325.73416,58.8279991149902
AND,YR2000,,,,,,,1429049198.45218,,48.936170212766,,,
AND,YR2001,,,,,,,1546926174.49664,,48.4042553191489,,,
AND,YR2002,,,,,,,1755910031.99699,,48.6170212765957,,,
AND,YR2003,,,,,,,2361726862.30248,,48.6382978723404,,,
AND,YR2004,,,,,,,2894921777.99851,,48.531914893617,,,
AND,YR2005,,,,,,,3159905484.39249,,46.3829787234043,,,
AND,YR2006,,,,,,,3456442102.622,,46.3404255319149,,,
AND,YR2007,,,,,,,3952600602.24473,,44.1914893617021,,,
AND,YR2008,,,,,,,4085630584.44412,,44.1702127659574,,,
AND,YR2009,,,,,,,3674409558.21061,,44.1914893617021,,,
AND,YR2010,,,,,,,3449966856.68832,,42.063829787234,,,
AND,YR2011,,,,,,,3629203786.19154,,42.063829787234,,,
AND,YR2012,,,,,,,3188808942.56713,,39.9148936170213,,,
AND,YR2013,,,,,,,3193704343.20627,,40.0212765957447,,,
AND,YR2014,,,,,,,3271808157.30038,,40.0,,,
AND,YR2015,,,,,,,2789870187.50693,,40.0212765957447,,,
AND,YR2016,,,,,,,2896679211.86628,,40.0425531914894,,,
AND,YR2017,,,,,,,3000180750.11297,,40.0425531914894,,,
AND,YR2018,,,,,,,3218316013.22626,,40.063829787234,,,
AND,YR2019,,,,,,,3155065487.51819,,40.0,,,
AND,YR2020,,,,,,,2891022272.98687,,39.8297872340425,,,
ARB,YR2000,3840491004.48051,1.85379035325276,,137506085912.599,547235992708.263,,816019292861.185,12.4478457077062,39.6477196262465,150511273663.951,245947473180.049,47.40344730851
